Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_6,9,TCU,42.3%,2.9%,0.7%,0.2%,0.0%,0.0%,71.4,$5.25
model_6,6,Tennessee,75.0%,28.1%,10.2%,2.4%,0.8%,0.2%,73.1,$20.61
model_6,15,Tennessee State,2.4%,0.3%,0.0%,0.0%,0.0%,0.0%,69.7,$0.29
model_6,11,Texas,32.8%,5.8%,1.3%,0.2%,0.0%,0.0%,75.5,$5.05
model_6,10,Texas A&M,37.5%,7.0%,2.1%,0.5%,0.1%,0.0%,72.9,$6.52
model_6,5,Texas Tech,77.1%,40.1%,9.4%,3.9%,1.5%,0.3%,77.6,$25.75
model_6,13,Troy,5.3%,0.4%,0.0%,0.0%,0.0%,0.0%,67.3,$0.61
model_6,10,UCF,42.9%,11.2%,3.8%,0.5%,0.1%,0.0%,75.1,$8.60
model_6,7,UCLA,57.1%,18.0%,7.3%,1.4%,0.4%,0.1%,74.2,$13.99
model_6,2,UConn,98.1%,70.7%,42.5%,14.1%,5.9%,2.4%,73.5,$68.59
model_6,16,UMBC,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,68.3,$0.08
model_6,9,Utah State,51.9%,9.0%,4.0%,1.5%,0.4%,0.1%,74.7,$10.52
model_6,11,VCU,33.9%,7.9%,1.6%,0.3%,0.1%,0.0%,74.4,$5.88
model_6,5,Vanderbilt,77.6%,41.8%,19.4%,8.8%,3.1%,1.0%,75.8,$38.51
model_6,8,Villanova,48.1%,7.9%,3.3%,1.1%,0.3%,0.1%,73.9,$9.09
model_6,3,Virginia,95.5%,67.0%,33.6%,11.7%,5.4%,1.8%,74.5,$59.39
model_6,5,Wisconsin,81.7%,37.8%,9.5%,3.9%,1.0%,0.3%,79.5,$24.85
model_6,14,Wright State,4.5%,0.6%,0.0%,0.0%,0.0%,0.0%,69.3,$0.57
model_7,12,Akron,12.9%,2.1%,0.1%,0.0%,0.0%,0.0%,N/A,$1.70
model_7,4,Alabama,92.3%,52.3%,9.0%,3.1%,0.8%,0.2%,N/A,$27.26
model_7,1,Arizona,99.8%,93.2%,81.5%,63.3%,35.7%,21.8%,N/A,$236.19
model_7,4,Arkansas,95.7%,60.3%,11.0%,4.3%,0.9%,0.2%,N/A,$31.16
model_7,6,BYU,65.5%,21.8%,6.3%,1.1%,0.2%,0.0%,N/A,$14.47
model_7,13,California Baptist,5.4%,0.4%,0.0%,0.0%,0.0%,0.0%,N/A,$0.61
model_7,8,Clemson,38.1%,3.7%,0.9%,0.1%,0.0%,0.0%,N/A,$4.94
model_7,1,Duke,99.8%,93.7%,83.5%,71.4%,45.9%,30.0%,N/A,$285.36
model_7,1,Florida,99.9%,87.0%,64.9%,36.3%,17.0%,6.7%,N/A,$129.61
model_7,15,Furman,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.11
model_7,8,Georgia,58.1%,4.1%,1.4%,0.3%,0.0%,0.0%,N/A,$7.31
model_7,3,Gonzaga,98.5%,70.9%,31.4%,8.5%,2.3%,0.6%,N/A,$48.60
model_7,13,Hawaii,4.3%,0.4%,0.0%,0.0%,0.0%,0.0%,N/A,$0.51
model_7,12,High Point,9.1%,0.8%,0.0%,0.0%,0.0%,0.0%,N/A,$1.05
model_7,13,Hofstra,7.7%,0.9%,0.0%,0.0%,0.0%,0.0%,N/A,$0.93
model_7,2,Houston,99.3%,85.1%,50.7%,29.1%,13.1%,5.1%,N/A,$106.52
model_7,15,Idaho,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.08
model_7,3,Illinois,99.1%,86.4%,43.6%,23.1%,9.4%,3.2%,N/A,$87.31
model_7,9,Iowa,61.9%,9.3%,3.3%,0.6%,0.1%,0.0%,N/A,$9.91
model_7,2,Iowa State,99.5%,85.5%,61.4%,24.2%,12.2%,4.3%,N/A,$103.20
model_7,4,Kansas,94.6%,46.0%,6.1%,2.5%,0.5%,0.1%,N/A,$23.78
model_7,14,Kennesaw State,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.15
model_7,7,Kentucky,57.8%,9.4%,3.0%,0.4%,0.1%,0.0%,N/A,$9.14
model_7,16,LIU,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.02
model_7,6,Louisville,80.0%,32.7%,15.2%,2.6%,0.6%,0.1%,N/A,$23.71
model_7,12,McNeese,9.1%,1.2%,0.1%,0.0%,0.0%,0.0%,N/A,$1.15
model_7,7,Miami (FL),69.4%,12.0%,3.5%,0.4%,0.1%,0.0%,N/A,$11.03
model_7,11,Miami (OH),6.1%,0.5%,0.0%,0.0%,0.0%,0.0%,N/A,$0.69
model_7,1,Michigan,99.8%,93.7%,81.6%,61.5%,41.9%,22.1%,N/A,$245.70
model_7,3,Michigan State,97.3%,63.9%,36.7%,8.9%,2.6%,0.7%,N/A,$50.20
model_7,10,Missouri,30.6%,2.6%,0.4%,0.0%,0.0%,0.0%,N/A,$3.70
model_7,4,Nebraska,97.7%,47.7%,13.9%,4.0%,0.9%,0.2%,N/A,$29.66
model_7,6,North Carolina,63.8%,10.0%,1.8%,0.3%,0.0%,0.0%,N/A,$9.26
model_7,14,North Dakota State,2.7%,0.2%,0.0%,0.0%,0.0%,0.0%,N/A,$0.30
model_7,12,Northern Iowa,10.1%,1.7%,0.1%,0.0%,0.0%,0.0%,N/A,$1.35
model_7,8,Ohio State,66.9%,5.0%,2.0%,0.7%,0.1%,0.0%,N/A,$9.05
model_7,14,Penn,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%,N/A,$0.10
model_7,16,Prairie View A&M,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.01
model_7,2,Purdue,99.3%,85.4%,57.0%,20.3%,7.2%,2.7%,N/A,$85.22
model_7,15,Queens,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.07
model_7,9,Saint Louis,41.9%,2.2%,0.6%,0.1%,0.0%,0.0%,N/A,$4.88
model_7,7,Saint Mary's,66.4%,11.6%,3.0%,0.7%,0.1%,0.0%,N/A,$10.76
model_7,10,Santa Clara,42.2%,5.1%,1.3%,0.1%,0.0%,0.0%,N/A,$5.82
model_7,16,Siena,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.02
model_7,11,South Florida,20.0%,3.2%,0.6%,0.0%,0.0%,0.0%,N/A,$2.90
model_7,5,St. John's,89.9%,52.0%,8.1%,3.7%,0.8%,0.2%,N/A,$27.10
model_7,9,TCU,33.1%,1.3%,0.3%,0.1%,0.0%,0.0%,N/A,$3.67
model_7,6,Tennessee,93.9%,45.5%,14.9%,3.3%,0.9%,0.2%,N/A,$28.69
model_7,15,Tennessee State,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.05
model_7,11,Texas,34.5%,7.2%,1.3%,0.1%,0.0%,0.0%,N/A,$5.45
model_7,10,Texas A&M,33.6%,3.4%,0.6%,0.1%,0.0%,0.0%,N/A,$4.27
model_7,5,Texas Tech,87.1%,44.8%,7.3%,2.4%,0.6%,0.1%,N/A,$23.48
model_7,13,Troy,2.3%,0.1%,0.0%,0.0%,0.0%,0.0%,N/A,$0.24
model_7,10,UCF,26.4%,3.4%,0.5%,0.0%,0.0%,0.0%,N/A,$3.50
model_7,7,UCLA,73.6%,20.9%,6.5%,0.8%,0.1%,0.0%,N/A,$14.74
model_7,2,UConn,99.0%,75.6%,40.4%,9.4%,2.6%,0.7%,N/A,$54.53
model_7,16,UMBC,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,$0.03
model_7,9,Utah State,53.1%,3.8%,1.4%,0.3%,0.0%,0.0%,N/A,$6.81
model_7,11,VCU,36.2%,3.5%,0.4%,0.1%,0.0%,0.0%,N/A,$4.47
model_7,5,Vanderbilt,90.9%,51.1%,17.0%,5.6%,1.5%,0.3%,N/A,$33.64
model_7,8,Villanova,46.9%,3.0%,1.0%,0.2%,0.0%,0.0%,N/A,$5.77
model_7,3,Virginia,97.7%,54.0%,19.3%,4.5%,1.3%,0.3%,N/A,$34.47
model_7,5,Wisconsin,90.9%,38.6%,5.2%,1.5%,0.3%,0.0%,N/A,$20.39
model_7,14,Wright State,2.3%,0.1%,0.0%,0.0%,0.0%,0.0%,N/A,$0.24
model_9,12,Akron,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,63.8,$0.06
model_9,4,Alabama,100.0%,54.4%,0.3%,0.0%,0.0%,0.0%,72.0,$20.73
model_9,1,Arizona,100.0%,100.0%,99.4%,91.5%,37.8%,22.6%,72.3,$272.81
model_9,4,Arkansas,100.0%,70.8%,0.5%,0.1%,0.0%,0.0%,72.7,$24.14
model_9,6,BYU,80.7%,12.9%,0.9%,0.0%,0.0%,0.0%,69.8,$10.80
model_9,13,California Baptist,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.0,$0.00
model_9,8,Clemson,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,67.3,$2.69
model_9,1,Duke,100.0%,99.9%,99.6%,97.9%,61.4%,41.9%,70.4,$376.56
model_9,1,Florida,100.0%,99.0%,90.9%,52.2%,13.8%,2.5%,73.8,$136.42
model_9,15,Furman,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.7,$0.00
model_9,8,Georgia,67.6%,0.0%,0.0%,0.0%,0.0%,0.0%,67.1,$6.63
model_9,3,Gonzaga,100.0%,86.5%,24.1%,0.7%,0.0%,0.0%,74.7,$37.04
model_9,13,Hawaii,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.6,$0.00
model_9,12,High Point,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,62.4,$0.01
model_9,13,Hofstra,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.8,$0.00
model_9,2,Houston,100.0%,98.0%,59.5%,30.2%,7.6%,1.3%,73.6,$92.97
model_9,15,Idaho,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.4,$0.00
model_9,3,Illinois,100.0%,99.0%,40.4%,16.5%,2.9%,0.3%,74.0,$63.84
model_9,9,Iowa,72.6%,0.9%,0.2%,0.0%,0.0%,0.0%,68.5,$7.37
model_9,2,Iowa State,100.0%,98.9%,87.0%,13.1%,5.6%,0.7%,73.9,$85.29
model_9,4,Kansas,100.0%,38.5%,0.1%,0.0%,0.0%,0.0%,72.3,$17.48
model_9,14,Kennesaw State,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.8,$0.00
model_9,7,Kentucky,66.2%,0.9%,0.1%,0.0%,0.0%,0.0%,68.5,$6.73
model_9,16,LIU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.9,$0.00
model_9,6,Louisville,97.0%,27.3%,9.9%,0.0%,0.0%,0.0%,71.0,$18.87
model_9,12,McNeese,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5,$0.01
model_9,7,Miami (FL),85.2%,1.7%,0.2%,0.0%,0.0%,0.0%,69.0,$8.77
model_9,11,Miami (OH),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.2,$0.00
model_9,1,Michigan,100.0%,100.0%,99.4%,86.7%,70.0%,30.6%,71.5,$345.20
