Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
76	Creighton	BE	15-17	+11.01	116.2	74	105.2	97	67.5	170	-.029	262	+11.72	41	114.6	66	102.8	13	+3.34	99
77	Minnesota	B10	15-17	+10.91	114.6	88	103.7	72	62.5	362	-.061	327	+10.48	66	116.0	38	105.5	72	-8.65	351
78	Dayton	A10	23-11	+10.91	110.6	145	99.7	32	66.9	204	+.043	76	+4.83	95	112.0	90	107.2	101	+1.18	147
79	Georgetown	BE	16-18	+10.89	114.6	87	103.7	73	66.2	245	-.049	304	+10.54	64	113.9	73	103.4	27	-4.13	287
80	USC	B10	18-14	+10.81	113.5	101	102.7	62	70.6	27	+.068	33	+12.23	32	116.4	30	104.2	48	-0.84	206
Strength of Schedule	NCSOS
Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
81	Yale	Ivy	24-6	+10.65	121.1	35	110.4	202	64.4	328	+.045	69	-1.09	181	108.8	175	109.9	187	+1.26	143
82	Wichita St.	Amer	22-11	+9.78	112.6	111	102.8	64	66.1	248	-.038	291	+1.35	124	110.2	114	108.8	153	-2.24	252
83	Syracuse	ACC	15-17	+9.74	114.6	86	104.9	92	67.4	179	-.046	301	+10.33	68	113.9	74	103.6	32	-2.19	251
84	Marquette	BE	12-20	+9.66	111.8	120	102.2	56	68.9	97	-.111	363	+10.97	57	115.3	52	104.3	53	+1.85	130
85	George Washington	A10	18-15	+9.64	117.6	59	108.0	143	69.1	83	-.141	365	+1.58	117	109.3	153	107.7	116	-2.80	261
86	Butler	BE	16-16	+9.49	116.1	75	106.6	123	68.7	107	-.031	270	+9.95	71	114.0	72	104.1	44	-3.01	265
87	Hofstra 13	CAA	24-10	+9.49	114.6	89	105.1	95	64.7	317	-.052	308	-0.91	173	108.0	223	108.9	156	+3.13	103
88	Colorado St.	MWC	21-12	+9.49	118.9	52	109.4	183	63.0	358	+.040	87	+4.89	94	112.1	88	107.2	102	-2.19	250
89	Notre Dame	ACC	13-18	+8.88	115.5	80	106.6	125	65.9	261	-.059	320	+10.73	63	114.8	63	104.1	45	+1.42	137
90	Utah Valley	WAC	25-8	+8.82	112.8	108	104.0	76	68.7	108	+.033	103	-0.34	161	107.0	268	107.4	107	+2.53	113
91	Stephen F. Austin	Slnd	28-5	+8.43	112.6	110	104.2	81	65.7	269	+.029	111	-3.65	235	106.0	287	109.6	173	-3.79	284
92	High Point 12	BSth	30-4	+8.40	117.0	66	108.6	161	69.9	49	+.048	64	-9.23	342	103.7	330	112.9	319	-8.88	355
93	Miami OH 11	MAC	31-1	+8.26	116.8	70	108.5	156	69.9	44	+.099	15	-5.37	269	107.2	262	112.6	305	-9.91	361
94	Pittsburgh	ACC	13-20	+7.60	113.7	98	106.1	115	63.5	344	-.067	330	+10.84	59	115.0	60	104.2	47	+0.42	174
95	South Carolina	SEC	13-19	+7.54	112.5	112	105.0	94	66.3	232	-.062	329	+11.04	54	116.7	27	105.7	77	-8.78	354
96	George Mason	A10	23-9	+7.50	113.1	105	105.6	103	63.3	350	+.054	56	+0.39	147	109.7	129	109.3	169	-7.88	346
97	Xavier	BE	15-18	+7.47	116.9	69	109.4	182	70.2	33	+.016	141	+11.41	46	114.0	71	102.6	6	+1.07	152
98	Wyoming	MWC	18-14	+7.40	115.1	83	107.7	140	66.0	257	-.024	250	+3.96	99	111.7	94	107.8	119	-5.34	306
99	Oregon	B10	12-20	+7.03	111.6	128	104.6	87	65.9	262	-.036	287	+12.63	29	116.4	31	103.8	35	+1.53	135
100	Mississippi St.	SEC	13-19	+7.00	112.7	109	105.7	105	69.6	64	-.001	190	+13.23	26	117.6	16	104.3	52	+0.49	172
101	Kansas St.	B12	12-20	+6.98	113.2	103	106.3	116	72.6	6	-.074	340	+12.99	28	116.1	34	103.1	18	-0.20	192
